device,useragent
linux,"Mozilla/5.0 (Linux; Linux i671 x86_64) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/48.0.2841.186 Safari/534"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_5_2 like Mac OS X) AppleWebKit/602.14 (KHTML, like Gecko)  Chrome/50.0.1324.311 Mobile Safari/603.6"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/602.7 (KHTML, like Gecko) Chrome/48.0.2279.377 Safari/601.3 Edge/12.18433"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_7) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/48.0.2321.187 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_4_4; like Mac OS X) AppleWebKit/533.33 (KHTML, like Gecko)  Chrome/49.0.2849.347 Mobile Safari/602.3"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_8_3; en-US) Gecko/20100101 Firefox/72.3
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3;; en-US Trident/5.0)
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_8; like Mac OS X) AppleWebKit/534.22 (KHTML, like Gecko)  Chrome/50.0.1060.115 Mobile Safari/534.8"
android,"Mozilla/5.0 (Android; Android 7.0; Pixel XL Build/NME91E) AppleWebKit/537.34 (KHTML, like Gecko)  Chrome/49.0.3827.371 Mobile Safari/536.8"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_8_3; en-US) AppleWebKit/536.31 (KHTML, like Gecko) Chrome/54.0.2710.206 Safari/603"
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/534.38 (KHTML, like Gecko) Chrome/49.0.3339.290 Safari/600"
linux,"Mozilla/5.0 (Linux; U; Linux i645 x86_64) AppleWebKit/533.44 (KHTML, like Gecko) Chrome/49.0.2561.181 Safari/537"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_2) AppleWebKit/536.10 (KHTML, like Gecko) Chrome/48.0.1342.156 Safari/534"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_9; en-US) AppleWebKit/601.27 (KHTML, like Gecko) Chrome/52.0.2823.176 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64 Trident/4.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_4_4; like Mac OS X) AppleWebKit/536.27 (KHTML, like Gecko)  Chrome/51.0.2466.228 Mobile Safari/600.9"
android,"Mozilla/5.0 (Linux; Android 5.0.1; HTC 80:number1-2e Build/JSS15J) AppleWebKit/601.36 (KHTML, like Gecko)  Chrome/55.0.3054.341 Mobile Safari/600.4"
windows,Mozilla/5.0 (Windows NT 6.0; Win64; x64) Gecko/20100101 Firefox/48.2
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/55.0.1869.368 Safari/533.0 Edge/16.26858"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) Gecko/20100101 Firefox/67.6
edge,"Mozilla/5.0 (Windows NT 10.0; x64; en-US) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/47.0.3159.294 Safari/533.9 Edge/16.28586"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_2; en-US) AppleWebKit/533.32 (KHTML, like Gecko) Chrome/52.0.2092.281 Safari/533"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_8) Gecko/20130401 Firefox/70.2
windows,"Mozilla/5.0 (Windows NT 10.0;; en-US) AppleWebKit/603.10 (KHTML, like Gecko) Chrome/48.0.3639.207 Safari/602"
android,"Mozilla/5.0 (Android; Android 5.1; SM-G920FD Build/LRX22G) AppleWebKit/602.25 (KHTML, like Gecko)  Chrome/49.0.1563.282 Mobile Safari/600.1"
mobile,"Mozilla/5.0 (Linux; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/602.11 (KHTML, like Gecko)  Chrome/50.0.2081.362 Mobile Safari/603.2"
firefox,Mozilla/5.0 (Windows NT 6.1; WOW64; en-US) Gecko/20130401 Firefox/56.4
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/48.1
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4; en-US) Gecko/20130401 Firefox/56.9
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_6_8 like Mac OS X) AppleWebKit/603.33 (KHTML, like Gecko)  Chrome/51.0.1009.158 Mobile Safari/537.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_8_2; like Mac OS X) AppleWebKit/533.29 (KHTML, like Gecko)  Chrome/48.0.3804.259 Mobile Safari/602.2"
linux,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/71.4
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_6_6; like Mac OS X) AppleWebKit/535.6 (KHTML, like Gecko)  Chrome/50.0.2785.214 Mobile Safari/537.0"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_0) Gecko/20100101 Firefox/57.5
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_3_9) Gecko/20100101 Firefox/71.8
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_5_7 like Mac OS X) AppleWebKit/602.28 (KHTML, like Gecko)  Chrome/50.0.2010.329 Mobile Safari/533.4"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NRD90M) AppleWebKit/533.38 (KHTML, like Gecko)  Chrome/47.0.1374.322 Mobile Safari/601.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_3; like Mac OS X) AppleWebKit/533.15 (KHTML, like Gecko)  Chrome/49.0.2813.186 Mobile Safari/600.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_4_8; like Mac OS X) AppleWebKit/603.34 (KHTML, like Gecko)  Chrome/47.0.1571.252 Mobile Safari/600.9"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_7_9) Gecko/20100101 Firefox/51.1
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; x64; en-US) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/50.0.2708.124 Safari/537.9 Edge/13.26158"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_6_7; like Mac OS X) AppleWebKit/600.38 (KHTML, like Gecko)  Chrome/49.0.2856.317 Mobile Safari/603.8"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) AppleWebKit/535.10 (KHTML, like Gecko) Chrome/50.0.3644.128 Safari/534"
android,"Mozilla/5.0 (Android; Android 4.4.1; HTC One801e dual sim Build/KTU84L) AppleWebKit/602.25 (KHTML, like Gecko)  Chrome/52.0.2830.162 Mobile Safari/602.7"
android,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-D9350S Build/MDB08I) AppleWebKit/537.49 (KHTML, like Gecko)  Chrome/50.0.1004.192 Mobile Safari/601.8"
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/537.41 (KHTML, like Gecko) Chrome/53.0.3535.150 Safari/603"
edge,"Mozilla/5.0 (Windows NT 10.1; WOW64; en-US) AppleWebKit/536.31 (KHTML, like Gecko) Chrome/51.0.2720.333 Safari/533.9 Edge/9.55212"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/4.0)
linux,Mozilla/5.0 (Linux; Linux i670 ) Gecko/20100101 Firefox/69.8
windows,"Mozilla/5.0 (Windows NT 10.0; x64) AppleWebKit/601.6 (KHTML, like Gecko) Chrome/51.0.3457.199 Safari/602"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; Nexus 9X Build/NME91E) AppleWebKit/536.29 (KHTML, like Gecko)  Chrome/52.0.1784.287 Mobile Safari/537.9"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_9; like Mac OS X) AppleWebKit/537.28 (KHTML, like Gecko)  Chrome/54.0.2578.246 Mobile Safari/603.0"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64; en-US) Gecko/20100101 Firefox/56.3
chrome,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/51.0.2120.108 Safari/601"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_9; like Mac OS X) AppleWebKit/535.13 (KHTML, like Gecko)  Chrome/47.0.1579.168 Mobile Safari/600.5"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4; en-US) AppleWebKit/535.35 (KHTML, like Gecko) Chrome/48.0.3300.346 Safari/600"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_8) Gecko/20100101 Firefox/71.7
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; Win64; x64 Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 7.1.1; Xperia Build/NDE63X) AppleWebKit/600.37 (KHTML, like Gecko)  Chrome/47.0.2778.266 Mobile Safari/603.2"
edge,"Mozilla/5.0 (Windows NT 10.0;) AppleWebKit/601.18 (KHTML, like Gecko) Chrome/48.0.2789.296 Safari/533.3 Edge/14.82675"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64) AppleWebKit/535.14 (KHTML, like Gecko) Chrome/52.0.2239.181 Safari/602.6 Edge/12.26599"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0; Win64; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_0_2; en-US) Gecko/20100101 Firefox/74.4
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.3; Trident/7.0)
linux,"Mozilla/5.0 (U; Linux i651 x86_64) AppleWebKit/602.27 (KHTML, like Gecko) Chrome/52.0.1359.171 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_1; like Mac OS X) AppleWebKit/535.23 (KHTML, like Gecko)  Chrome/48.0.3703.130 Mobile Safari/600.9"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_3) Gecko/20100101 Firefox/61.0
android,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 5 Build/MMB29V) AppleWebKit/536.37 (KHTML, like Gecko)  Chrome/52.0.3335.181 Mobile Safari/602.2"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_1_8 like Mac OS X) AppleWebKit/533.13 (KHTML, like Gecko)  Chrome/51.0.1355.301 Mobile Safari/533.9"
chrome,"Mozilla/5.0 (Windows NT 10.0; x64; en-US) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/51.0.1773.240 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_9; like Mac OS X) AppleWebKit/533.37 (KHTML, like Gecko)  Chrome/49.0.2655.344 Mobile Safari/536.7"
android,"Mozilla/5.0 (Android; Android 6.0.1; SM-G920L Build/MDB08L) AppleWebKit/536.39 (KHTML, like Gecko)  Chrome/52.0.2860.362 Mobile Safari/600.9"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_3_2; en-US) Gecko/20130401 Firefox/52.3
android,"Mozilla/5.0 (Android; Android 5.1.1; SM-G920H Build/LRX22G) AppleWebKit/601.45 (KHTML, like Gecko)  Chrome/53.0.1921.108 Mobile Safari/602.3"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) Gecko/20100101 Firefox/54.7
mobile,"Mozilla/5.0 (Android; Android 4.4; SM-N9006 Build/KOT49H) AppleWebKit/537.47 (KHTML, like Gecko)  Chrome/51.0.1367.219 Mobile Safari/534.4"
linux,Mozilla/5.0 (Linux; U; Linux i573 x86_64; en-US) Gecko/20100101 Firefox/55.3
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3; en-US) AppleWebKit/601.31 (KHTML, like Gecko) Chrome/55.0.3226.129 Safari/603"
windows,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/600.28 (KHTML, like Gecko) Chrome/48.0.2268.298 Safari/535.7 Edge/8.40117"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_1; like Mac OS X) AppleWebKit/536.15 (KHTML, like Gecko)  Chrome/55.0.3355.323 Mobile Safari/603.1"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_3; en-US) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/52.0.1766.386 Safari/602"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_0) Gecko/20100101 Firefox/58.2
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; x64 Trident/4.0)
mobile,"Mozilla/5.0 (Android; Android 5.0.1; SM-G400 Build/LRX22G) AppleWebKit/533.48 (KHTML, like Gecko)  Chrome/52.0.3484.264 Mobile Safari/603.2"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/73.2
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_0_7) AppleWebKit/601.9 (KHTML, like Gecko) Chrome/49.0.1027.341 Safari/535"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_1_8) Gecko/20130401 Firefox/63.1
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_1_3; en-US) Gecko/20100101 Firefox/58.4
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; WOW64 Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Pixel C Build/NME91E) AppleWebKit/536.20 (KHTML, like Gecko)  Chrome/55.0.3300.361 Mobile Safari/537.2"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64) AppleWebKit/535.15 (KHTML, like Gecko) Chrome/54.0.2504.320 Safari/537"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_2) AppleWebKit/602.44 (KHTML, like Gecko) Chrome/52.0.3601.173 Safari/535"
windows,"Mozilla/5.0 (Windows NT 6.1; x64) AppleWebKit/537.40 (KHTML, like Gecko) Chrome/54.0.2017.213 Safari/600"
chrome,"Mozilla/5.0 (U; Linux i543 ) AppleWebKit/536.20 (KHTML, like Gecko) Chrome/51.0.1441.219 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; x64; en-US Trident/4.0)
mobile,"Mozilla/5.0 (Linux; Android 5.1; MOTOROLA MOTO XT1575 Build/LPH223) AppleWebKit/600.18 (KHTML, like Gecko)  Chrome/52.0.3206.278 Mobile Safari/601.4"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_2_8; en-US) Gecko/20100101 Firefox/70.8
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/534.18 (KHTML, like Gecko) Chrome/55.0.1993.385 Safari/535.9 Edge/8.23740"
windows,"Mozilla/5.0 (Windows NT 6.1; x64; en-US) AppleWebKit/537.15 (KHTML, like Gecko) Chrome/52.0.1436.287 Safari/536"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_7_1; en-US) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/48.0.2144.135 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
windows,"Mozilla/5.0 (Windows NT 10.2; WOW64) AppleWebKit/602.46 (KHTML, like Gecko) Chrome/48.0.3240.102 Safari/535"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/535.25 (KHTML, like Gecko) Chrome/50.0.1767.204 Safari/537.9 Edge/18.42190"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_3; like Mac OS X) AppleWebKit/602.34 (KHTML, like Gecko)  Chrome/51.0.2404.223 Mobile Safari/601.3"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3_4; like Mac OS X) AppleWebKit/535.43 (KHTML, like Gecko)  Chrome/49.0.3702.365 Mobile Safari/533.1"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.0; WOW64 Trident/5.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_7; like Mac OS X) AppleWebKit/600.32 (KHTML, like Gecko)  Chrome/54.0.2412.349 Mobile Safari/537.5"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_9) Gecko/20130401 Firefox/60.5
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/47.0.2070.363 Safari/601"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/72.6
mobile,"Mozilla/5.0 (Android; Android 7.0; SAMSUNG GT-I9800 Build/KTU84P) AppleWebKit/603.38 (KHTML, like Gecko)  Chrome/50.0.1640.193 Mobile Safari/533.3"
android,"Mozilla/5.0 (Linux; U; Android 7.1; SAMSUNG GT-I9500 Build/KTU84P) AppleWebKit/535.24 (KHTML, like Gecko)  Chrome/50.0.2442.293 Mobile Safari/600.0"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.2; WOW64) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/47.0.3026.129 Safari/603"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_0; en-US) AppleWebKit/537.28 (KHTML, like Gecko) Chrome/55.0.3981.258 Safari/534"
edge,"Mozilla/5.0 (Windows NT 10.3; WOW64; en-US) AppleWebKit/602.35 (KHTML, like Gecko) Chrome/54.0.3721.218 Safari/600.4 Edge/9.47906"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64) AppleWebKit/535.48 (KHTML, like Gecko) Chrome/55.0.2621.311 Safari/533"
android,"Mozilla/5.0 (Android; Android 7.0; LG-H920 Build/NRD90C) AppleWebKit/537.2 (KHTML, like Gecko)  Chrome/55.0.3490.374 Mobile Safari/602.9"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_8) Gecko/20100101 Firefox/74.0
firefox,Mozilla/5.0 (Windows; U; Windows NT 10.5;; en-US) Gecko/20100101 Firefox/65.2
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.1; Win64; x64 Trident/6.0)
linux,"Mozilla/5.0 (Linux; Linux x86_64) AppleWebKit/533.13 (KHTML, like Gecko) Chrome/52.0.1492.381 Safari/534"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_0_8; en-US) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/50.0.1182.361 Safari/601"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) Gecko/20100101 Firefox/74.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6; like Mac OS X) AppleWebKit/535.40 (KHTML, like Gecko)  Chrome/51.0.3815.297 Mobile Safari/602.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_9; like Mac OS X) AppleWebKit/536.45 (KHTML, like Gecko)  Chrome/55.0.1218.103 Mobile Safari/601.9"
chrome,"Mozilla/5.0 (Windows NT 6.3;; en-US) AppleWebKit/535.37 (KHTML, like Gecko) Chrome/55.0.1456.385 Safari/533"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5;) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/49.0.1467.160 Safari/600.0 Edge/17.75677"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_8; en-US) Gecko/20100101 Firefox/60.1
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/56.4
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64; en-US) AppleWebKit/537.12 (KHTML, like Gecko) Chrome/52.0.3862.159 Safari/602"
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; Win64; x64; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/50.0.3988.264 Safari/536.4 Edge/13.53871"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_7_8) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/54.0.1424.321 Safari/602"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/533.25 (KHTML, like Gecko) Chrome/54.0.3311.332 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2; like Mac OS X) AppleWebKit/600.18 (KHTML, like Gecko)  Chrome/47.0.2547.355 Mobile Safari/534.9"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.1;; en-US) AppleWebKit/602.25 (KHTML, like Gecko) Chrome/54.0.1642.327 Safari/601"
chrome,"Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) AppleWebKit/534.27 (KHTML, like Gecko) Chrome/51.0.1936.257 Safari/600"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/69.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_4; like Mac OS X) AppleWebKit/603.46 (KHTML, like Gecko)  Chrome/49.0.2601.394 Mobile Safari/535.6"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) AppleWebKit/537.49 (KHTML, like Gecko) Chrome/53.0.3466.348 Safari/602"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3;) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/54.0.2833.178 Safari/601.8 Edge/9.17110"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_8_6; en-US) Gecko/20100101 Firefox/67.9
firefox,Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) Gecko/20130401 Firefox/72.6
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; Win64; x64) AppleWebKit/537.38 (KHTML, like Gecko) Chrome/52.0.1558.250 Safari/603.6 Edge/14.22333"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_5_9; like Mac OS X) AppleWebKit/533.48 (KHTML, like Gecko)  Chrome/55.0.3317.266 Mobile Safari/533.9"
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.1; x64 Trident/5.0)
linux,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/56.2
firefox,Mozilla/5.0 (Linux i565 ; en-US) Gecko/20100101 Firefox/47.3
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_0_1) Gecko/20100101 Firefox/74.5
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_6_2) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/53.0.2039.106 Safari/534"
mobile,"Mozilla/5.0 (Linux; U; Android 5.1; MOTO G Build/LPC23) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/51.0.1991.200 Mobile Safari/537.4"
edge,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/603.46 (KHTML, like Gecko) Chrome/47.0.1653.115 Safari/600.5 Edge/10.84562"
mobile,"Mozilla/5.0 (Linux; Android 4.3.1; HP Compaq 2210b Build/JSS15J) AppleWebKit/537.19 (KHTML, like Gecko)  Chrome/48.0.1087.233 Mobile Safari/537.8"
firefox,Mozilla/5.0 (Windows NT 10.2; x64) Gecko/20100101 Firefox/48.6
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_3_7; like Mac OS X) AppleWebKit/536.50 (KHTML, like Gecko)  Chrome/52.0.3753.112 Mobile Safari/536.8"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/601.20 (KHTML, like Gecko) Chrome/49.0.1765.378 Safari/535"
edge,"Mozilla/5.0 (Windows NT 10.5; Win64; x64) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/50.0.2911.275 Safari/533.1 Edge/10.51212"
android,"Mozilla/5.0 (Linux; U; Android 5.1; Nexus 5 Build/LMY48B) AppleWebKit/602.45 (KHTML, like Gecko)  Chrome/48.0.2412.214 Mobile Safari/602.4"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 10.0; WOW64 Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.1; x64) AppleWebKit/602.38 (KHTML, like Gecko) Chrome/52.0.1217.146 Safari/602.2 Edge/11.97342"
mobile,"Mozilla/5.0 (Linux; Android 6.0.1; HTC One_M9 dual sim Build/MRA58K) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/51.0.2493.162 Mobile Safari/535.1"
firefox,Mozilla/5.0 (Windows NT 10.1; Win64; x64) Gecko/20130401 Firefox/46.1
windows,Mozilla/5.0 (Windows NT 6.1; Win64; x64) Gecko/20100101 Firefox/66.1
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.1; Win64; x64 Trident/5.0)
